view,target_x,target_y,target_z,bbox,confidence,point_count,min_x,min_y,min_z,max_x,max_y,max_z
center,0.48,0.0,0.3299899074912014,"(589, 553, 103, 122)",0.9244856901940263,814,0.45708187141888473,-0.024241186751005166,0.05259599851062736,0.510303434212208,0.023698254853515278,0.06003498448492119
left,0.48,0.12,0.3299899074912014,"(772, 588, 127, 130)",0.9399261634414203,838,0.45705990058487106,-0.022975522306606086,0.02561803715922072,0.5103054836454926,0.029919996872310402,0.06003434990587904
right,0.48,-0.12,0.3299899074912014,"(382, 587, 127, 129)",0.9376391601889372,834,0.45688928570090936,-0.029766788718269457,0.027352449556710883,0.5103025084464471,0.02323280817739461,0.060034359637702955
front,0.36,0.0,0.3299899074912014,"(592, 392, 97, 98)",0.9727454280484588,858,0.4571572623682437,-0.02368531633680889,0.06003626048355537,0.50395284227506,0.02374814829507378,0.06003734480983311
