target_name,target_x,target_y,target_z,link_x,link_y,link_z,pinch_x,pinch_y,pinch_z,link_error_x,link_error_y,link_error_z,pinch_error_x,pinch_error_y,pinch_error_z,pinch_error_xy,pinch_error_xyz
center,0.48,0.0,0.11,0.4916853784103137,6.873262952489e-05,0.12944906166395856,0.4919481493017853,7.155985202260406e-05,0.1560477635887879,0.011685378410313696,6.873262952489e-05,0.01944906166395856,0.011948149301785338,7.155985202260406e-05,0.04604776358878791,0.011948363592985232,0.047572680438241824
left,0.48,0.2,0.11,0.4743109806859341,0.19199312990910397,0.11442554219404844,0.47433061453439285,0.19184933915363764,0.14102514630258378,-0.005689019314065902,-0.00800687009089604,0.004425542194048435,-0.005669385465607135,-0.008150660846362373,0.03102514630258378,0.009928504609963276,0.03257506572344544
right,0.48,-0.2,0.11,0.4716664628551643,-0.18504985650461198,0.11322492933793345,0.4716845032143445,-0.18474846858174637,0.13982321574637321,-0.008333537144835701,0.014950143495388035,0.0032249293379334465,-0.008315496785655463,0.015251531418253639,0.029823215746373213,0.017371145540643663,0.034513488592852325
near_base,0.32,0.0,0.11,0.3360112939591682,-0.009374349963152498,0.09680160669938936,0.33606281947037725,-0.00964928550906096,0.12340013589871333,0.01601129395916817,-0.009374349963152498,-0.013198393300610636,0.016062819470377243,-0.00964928550906096,0.013400135898713333,0.018738273137439962,0.023036634352207135
far,0.62,0.0,0.11,0.580663007752522,-0.0016218264427714207,0.11426382919457692,0.5803823091401418,-0.0016648845787575021,0.1408623132544998,-0.039336992247478,-0.0016218264427714207,0.004263829194576921,-0.03961769085985822,-0.0016648845787575021,0.0308623132544998,0.0396526577889538,0.05024754371257119
